"IsPresent","Size","ComputerName","Category","RebootRequired","Title","WhenAvaliable","InstalledOn","checkInTimeStamp","KB"
"True","","ARMWIN11-02","Update",,"","1/1/0001 12:00:00 am","4/20/2023 00:04:00 AM","4/27/2023 10:04:53 AM","KB5022497"
"True","","ARMWIN11-02","Update",,"","1/1/0001 12:00:00 am","4/03/2023 00:04:00 AM","4/27/2023 10:04:53 AM","KB5025800"
"True","","ARMWIN11-02","Security Update",,"","1/1/0001 12:00:00 am","4/27/2023 00:04:00 AM","4/27/2023 10:04:53 AM","KB5025239"
"True","","ARMWIN11-02","Security Update",,"","1/1/0001 12:00:00 am","4/20/2023 00:04:00 AM","4/27/2023 10:04:53 AM","KB5025749"
"False","63MB","C01-WIN11","Updates","False","2023-04 Cumulative Update Preview for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 11 for x64 (KB5025368)","25/4/2023 4:00:00 am","1/1/0001 5:00:00 am","4/27/2023 10:04:59 AM","KB5025368"
"True","727MB","C01-WIN11","Definition Updates","False","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.387.2387.0)","27/4/2023 4:00:00 am","1/1/0001 5:00:00 am","4/27/2023 10:04:59 AM","KB2267602"
"True","","C01-WIN11","Update",,"","1/1/0001 5:00:00 am","4/14/2023 00:04:00 AM","4/27/2023 10:04:59 AM","KB5022505"
"True","","C01-WIN11","Update",,"","1/1/0001 5:00:00 am","4/13/2023 00:04:00 AM","4/27/2023 10:04:59 AM","KB5008295"
"True","","C01-WIN11","Update",,"","1/1/0001 5:00:00 am","4/13/2023 00:04:00 AM","4/27/2023 10:04:59 AM","KB5010690"
"True","","C01-WIN11","Security Update",,"","1/1/0001 5:00:00 am","4/14/2023 00:04:00 AM","4/27/2023 10:04:59 AM","KB5012170"
"True","","C01-WIN11","Update",,"","1/1/0001 5:00:00 am","4/13/2023 00:04:00 AM","4/27/2023 10:04:59 AM","KB5026038"
"True","","C01-WIN11","Security Update",,"","1/1/0001 5:00:00 am","4/14/2023 00:04:00 AM","4/27/2023 10:04:59 AM","KB5025224"
"True","","C01-WIN11","Security Update",,"","1/1/0001 5:00:00 am","4/14/2023 00:04:00 AM","4/27/2023 10:04:59 AM","KB5025388"
"False","56MB","TEST-PC","Updates","False","2023-04 Cumulative Update Preview for .NET Framework 3.5 and 4.8.1 for Windows 11, version 22H2 for x64 (KB5025182)","24/4/2023 4:00:00 pm","1/1/0001 12:00:00 am","4/27/2023 10:04:52 am","KB5025182"
"True","727MB","TEST-PC","Definition Updates","False","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.387.2387.0)","26/4/2023 4:00:00 pm","1/1/0001 12:00:00 am","4/27/2023 10:04:52 am","KB2267602"
"False","46KB","TEST-PC","Drivers","False","Intel - System - 9/19/2017 12:00:00 AM - 11.7.0.1000","20/5/2018 4:00:00 pm","1/1/0001 12:00:00 am","4/27/2023 10:04:52 am",""
"False","344KB","TEST-PC","Drivers","False","Lenovo Ltd. - Firmware - 1.0.0.14","31/8/2022 4:00:00 pm","1/1/0001 12:00:00 am","4/27/2023 10:04:52 am",""
"False","1MB","TEST-PC","Drivers","False","Intel(R) Corporation - SoftwareComponent - 1.41.1353.0","21/4/2023 4:00:00 pm","1/1/0001 12:00:00 am","4/27/2023 10:04:52 am",""
"False","1MB","TEST-PC","Drivers","False","Intel(R) Corporation - System - 1.41.1353.0","21/4/2023 4:00:00 pm","1/1/0001 12:00:00 am","4/27/2023 10:04:52 am",""
"False","13MB","TEST-PC","Drivers","False","Lenovo Ltd. - Firmware - 1.0.0.30","23/4/2023 4:00:00 pm","1/1/0001 12:00:00 am","4/27/2023 10:04:52 am",""
"True","","TEST-PC","Update",,"","1/1/0001 12:00:00 am","4/17/2023 00:04:00 am","4/27/2023 10:04:52 am","KB5022497"
"True","","TEST-PC","Security Update",,"","1/1/0001 12:00:00 am","4/17/2023 00:04:00 am","4/27/2023 10:04:52 am","KB5012170"
"True","","TEST-PC","Security Update",,"","1/1/0001 12:00:00 am","4/17/2023 00:04:00 am","4/27/2023 10:04:52 am","KB5025239"
"True","","TEST-PC","Security Update",,"","1/1/0001 12:00:00 am","4/17/2023 00:04:00 am","4/27/2023 10:04:52 am","KB5025749"
